,ADD,Autism,BIP,BIPSCZ,BL,BW,Child_BMI,Child_Obes,College,DS,FNBMD,HB,Height,HR,LSBMD,Lupus,MCHC,MCH,MCV,Menarche,MPV,Neuroticism,PBC,PCV,PG,PLT,RA,RBC,T2D,TC,TE
ADD,2057,0,18,0,0,0,0,0,6,0,0,0,1,0,0,18,0,0,0,0,0,30,0,0,0,0,24,3,32,24,6
Autism,0,554,0,77,28,0,0,0,0,0,0,0,34,0,0,0,0,11,0,0,0,0,25,0,0,0,0,0,0,0,0
BIP,18,0,534,10,0,0,3,3,36,0,0,0,91,0,0,0,0,0,4,170,6,0,0,0,0,10,0,170,0,0,36
BIPSCZ,0,77,10,799,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0
BL,0,28,0,0,2284,0,0,0,0,487,0,0,282,0,0,0,0,0,0,0,0,6,0,39,0,0,0,0,20,0,0
BW,0,0,0,0,0,2849,17,0,0,0,165,0,83,65,0,0,0,0,0,0,0,0,0,23,0,0,0,1,84,0,26
Child_BMI,0,0,3,0,0,17,1411,75,329,0,0,4,0,0,21,0,0,0,0,167,10,0,0,4,15,0,0,9,0,0,0
Child_Obes,0,0,3,0,0,0,75,968,0,20,0,0,261,0,0,61,61,50,0,20,0,0,0,0,0,0,0,0,0,0,0
College,6,0,36,0,0,0,329,0,1764,33,1,0,52,12,0,0,0,227,229,0,1,0,25,0,2,11,1,0,0,0,301
DS,0,0,0,0,487,0,0,20,33,3201,,0,2,0,0,0,11,,0,102,0,0,0,0,0,23,9,22,10,0,0
FNBMD,0,0,0,0,0,165,0,0,1,0,1428,0,0,0,1,0,0,0,0,0,4,0,0,0,2,150,0,0,66,0,2
HB,0,0,0,0,0,0,4,0,,0,0,1183,18,0,0,0,0,0,13,4,0,0,11,1580,0,0,0,1117,0,0,0
Height,1,34,91,52,282,83,0,261,52,2,0,18,8529,11,407,184,182,13,0,79,3,0,155,0,23,23,41,0,281,0,188
HR,0,0,0,0,0,65,0,0,12,0,0,0,11,669,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11
LSBMD,0,0,0,0,0,0,21,0,0,0,1,0,407,0,2551,0,8,0,0,0,2,0,0,0,2,0,0,0,2,129,136
Lupus,18,0,0,0,0,0,0,61,0,0,0,0,184,0,0,686,182,0,0,0,0,0,119,0,0,0,0,0,3,0,0
MCHC,0,0,0,0,0,0,0,61,0,11,0,0,182,0,8,182,385,0,0,0,0,0,0,14,0,0,0,0,3,0,0
MCH,0,11,0,0,0,0,0,50,227,0,0,13,0,0,0,0,0,1309,876,1,3,0,4,0,0,15,0,58,4,0,0
MCV,0,0,4,0,0,0,0,0,229,0,0,13,0,0,0,0,0,876,1207,1,0,0,0,0,0,0,0,45,0,0,2
Menarche,0,0,170,15,0,0,167,20,0,102,0,4,79,0,0,0,0,1,1,3241,0,0,0,4,0,0,146,184,43,0,14
MPV,0,0,6,0,0,0,10,0,1,0,4,0,3,0,2,0,0,3,0,0,1514,0,13,0,113,321,0,15,2,0,10
Neuroticism,30,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,3,0,0,19,21,0,2,0,0
PBC,0,25,0,0,0,0,0,0,25,0,0,11,155,0,0,119,14,4,0,0,13,3,3427,9,19,0,145,0,11,0,25
PCV,0,0,0,0,39,23,4,0,0,0,0,1580,0,0,0,0,0,0,0,4,0,0,9,2089,0,0,5,1102,1,0,0
PG,0,0,0,0,0,0,15,0,2,0,2,0,23,0,2,0,0,0,0,0,113,0,19,0,704,0,0,0,0,0,0
PLT,0,0,10,0,0,0,0,0,11,23,150,0,23,12,0,0,0,15,0,0,321,19,0,0,0,3087,0,9,4,0,0
RA,24,0,0,0,0,0,0,0,1,9,0,0,41,0,0,0,0,0,0,146,0,21,145,5,0,0,1948,0,230,406,33
RBC,3,0,170,0,0,1,9,0,0,22,0,1117,0,0,0,0,0,58,45,184,15,0,0,1102,0,9,0,1945,2,14,0
T2D,32,0,0,0,20,84,0,0,0,10,66,0,281,0,2,3,3,4,0,43,2,2,11,1,0,4,230,2,6390,0,44
TC,24,0,0,2,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,406,14,0,1027,20
TE,6,0,36,0,0,26,0,0,301,0,2,0,188,11,136,0,0,0,2,14,10,0,25,0,0,0,33,0,44,20,2320
